lambda (nm), E(eV), Qext
250.,4.962800796,2.881281356758077
251.,4.9430286812749005,2.8823386795040804
252.,4.923413488095238,2.8832218374489846
253.,4.903953355731225,2.8837598978671943
254.,4.884646452755906,2.883775387451006
255.,4.865490976470588,2.883085161445102
256.,4.84648515234375,2.8806460149564606
257.,4.827627233463035,2.876856019930363
258.,4.8089154999999995,2.8720627258754376
259.,4.790348258687259,2.8662826785171247
260.,4.771923842307693,2.859542239383199
261.,4.753640609195402,2.8518769478622477
262.,4.7354969427480915,2.843445556334584
263.,4.71749125095057,2.834545424072246
264.,4.699621965909092,2.824847543341058
265.,4.681887543396226,2.814343909321578
266.,4.664286462406015,2.803024993957546
267.,4.6468172247191015,2.7908800930223157
268.,4.629478354477612,2.7778976795747905
269.,4.612268397769516,2.764065763219073
270.,4.595185922222222,2.7484110012722196
271.,4.578229516605166,2.731842454252408
272.,4.561397790441177,2.7146312449801826
273.,4.544689373626373,2.6969013733867344
274.,4.528102916058394,2.6787769927086083
275.,4.511637087272727,2.660381542611107
276.,4.495290576086957,2.6418370554723407
277.,4.479062090252707,2.6237470478913236
278.,4.462950356115108,2.6059602286316044
279.,4.44695411827957,2.588288480143742
280.,4.431072139285714,2.570768739989279
281.,4.415303199288256,2.5534347920952922
282.,4.39964609574468,2.5363176052719907
283.,4.384099643109541,2.519445637700939
284.,4.368662672535211,2.502845109073854
285.,4.353334031578948,2.486969463986294
286.,4.338112583916084,2.471918277143994
287.,4.322997209059234,2.4570661702283845
288.,4.307986802083334,2.4423460599293207
289.,4.293080273356401,2.4276904995395903
290.,4.278276548275862,2.413031748185075
291.,4.263574567010309,2.3983018924703603
292.,4.248973284246575,2.383433021692777
293.,4.234471668941979,2.3675961604526976
294.,4.2200687040816325,2.3503158909090347
295.,4.205763386440678,2.3329235817015324
296.,4.1915547263513515,2.315525602337991
297.,4.177441747474747,2.2982258697959908
298.,4.163423486577181,2.281125752038799
299.,4.149498993311036,2.2643240978930517
300.,4.13566733,2.2479173874228895
301.,4.1219275714285715,2.231999997230385
302.,4.108278804635762,2.2187005600770684
303.,4.094720128712871,2.2063223189412415
304.,4.081250654605263,2.194459837964697
305.,4.067869504918033,2.183040887736405
306.,4.05457581372549,2.171993660216859
