wl,n,wl,k
300,1.552770264,300,2.86E-06
322,1.545869929,310,1.37E-06
344,1.540446687,320,6.66E-07
366,1.536090528,334,2.64E-07
388,1.532527732,350,9.29E-08
410,1.529568767,365,3.42E-08
432,1.527078429,370,2.74E-08
454,1.524957846,380,2.07E-08
476,1.523133174,390,1.37E-08
498,1.521548253,400,1.02E-08
520,1.520159688,405,9.06E-09
542,1.518933478,420,9.39E-09
564,1.517842648,436,1.11E-08
586,1.516865557,460,1.03E-08
608,1.515984669,500,9.58E-09
630,1.515185645,546,6.97E-09
652,1.51445666,580,9.25E-09
674,1.51378789,620,1.19E-08
696,1.513171112,660,1.26E-08
718,1.512599402,700,8.93E-09
740,1.512066895,1060,1.01E-08
762,1.51156859,1530,9.84E-08
784,1.511100206,1970,1.09E-06
806,1.510658057,2325,4.29E-06
828,1.510238956,2500,8.13E-06
850,1.509840135,,
872,1.50945918,,
894,1.509093978,,
916,1.508742673,,
938,1.508403627,,
960,1.508075392,,
982,1.507756683,,
1004,1.507446357,,
1026,1.507143392,,
1048,1.506846874,,
1070,1.506555982,,
1092,1.506269979,,
1114,1.505988198,,
1136,1.505710037,,
1158,1.50543495,,
1180,1.505162442,,
1202,1.50489206,,
1224,1.504623394,,
1246,1.504356065,,
1268,1.50408973,,
1290,1.503824072,,
1312,1.503558798,,
1334,1.503293642,,
1356,1.503028354,,
1378,1.502762706,,
1400,1.502496485,,
1422,1.502229493,,
1444,1.501961547,,
1466,1.501692477,,
1488,1.501422121,,
1510,1.501150331,,
1532,1.500876967,,
1554,1.500601898,,
1576,1.500324999,,
1598,1.500046155,,
1620,1.499765255,,
1642,1.499482196,,
1664,1.499196879,,
1686,1.498909211,,
1708,1.498619104,,
1730,1.498326472,,
1752,1.498031236,,
1774,1.497733318,,
1796,1.497432645,,
1818,1.497129146,,
1840,1.496822753,,
1862,1.4965134,,
1884,1.496201026,,
1906,1.495885568,,
1928,1.495566968,,
1950,1.49524517,,
1972,1.494920117,,
1994,1.494591757,,
2016,1.494260036,,
2038,1.493924904,,
2060,1.49358631,,
2082,1.493244207,,
2104,1.492898546,,
2126,1.49254928,,
2148,1.492196363,,
2170,1.49183975,,
2192,1.491479396,,
2214,1.491115257,,
2236,1.490747289,,
2258,1.49037545,,
2280,1.489999697,,
2302,1.489619988,,
2324,1.48923628,,
2346,1.488848531,,
2368,1.488456702,,
2390,1.488060749,,
2412,1.487660633,,
2434,1.487256312,,
2456,1.486847745,,
2478,1.486434891,,
2500,1.48601771,,
