lambda (nm), E(eV), Cext [nm^2], Csca [nm^2]
250.,4.9628016,286.221396258989,5.583342093015542
251.,4.943029482071712,286.32243684083704,5.568821737504308
252.,4.923414285714286,286.41534825378557,5.554795789389057
253.,4.903954150197628,286.4697802160337,5.540452800994351
254.,4.884647244094489,286.45497791165377,5.524978329669354
255.,4.865491764705882,286.3398959999341,5.50755831392322
256.,4.8464859375,285.92496995406606,5.484014296918759
257.,4.827628015564202,285.29868147941875,5.455968959901921
258.,4.808916279069767,284.53567718219705,5.424766991027108
259.,4.790349034749035,283.6439756753486,5.390423939101985
260.,4.771924615384616,282.63274271546146,5.352985084707792
261.,4.753641379310344,281.51217099979505,5.312522367087021
262.,4.7354977099236635,280.3216133171968,5.269199856357864
263.,4.7174920152091255,279.13015233048594,5.223310787700765
264.,4.699622727272728,277.85358250489554,5.174759764085819
265.,4.681888301886793,276.489050418732,5.123623091862278
266.,4.664287218045113,275.0335726680941,5.069976965048795
267.,4.64681797752809,273.484091955469,5.013898659477133
268.,4.629479104477612,271.83753207900054,4.955467671874655
269.,4.612269144981412,270.09085181024693,4.894766789818668
270.,4.595186666666667,268.05945771754637,4.829596224880717
271.,4.578230258302583,265.9175413159415,4.76233027753184
272.,4.561398529411765,263.71495055979824,4.693719792554639
273.,4.54469010989011,261.4728557282948,4.624136478823987
274.,4.528103649635036,259.2118899268988,4.553929860664957
275.,4.511637818181818,256.9520442646352,4.483425370068186
276.,4.495291304347826,254.71259234179158,4.412923266318269
277.,4.479062815884476,252.60793768756338,4.342973910978453
278.,4.462951079136691,250.60001305724015,4.273656737070054
279.,4.446954838709678,248.64558854412877,4.205021852048458
280.,4.431072857142857,246.7468554779564,4.13723445269909
281.,4.415303914590747,244.90565768417315,4.070443352248156
282.,4.399646808510638,243.12355217512982,4.004782680484574
283.,4.3841003533568905,241.4018619645514,3.9403734383961178
284.,4.36866338028169,239.74172176493045,3.8773249167334054
285.,4.353334736842106,238.21112030849787,3.8170680036416376
286.,4.338113286713287,236.82228286272712,3.759869249622042
287.,4.322997909407666,235.475013774388,3.7037966594621428
288.,4.307987499999999,234.15690631338884,3.648689408027378
289.,4.293080968858131,232.85580534433163,3.5943966382629493
290.,4.27827724137931,231.55980121479325,3.540776997876167
291.,4.263575257731959,230.2572313051258,3.487698380535423
292.,4.248973972602739,228.93668909796136,3.4350378485194044
293.,4.234472354948806,227.46657683735535,3.381144574597854
294.,4.220069387755102,225.77307736661757,3.3251860685305923
295.,4.20576406779661,224.06720511376588,3.269914463344308
296.,4.191555405405406,222.36510138180458,3.2155470753325557
297.,4.1774424242424235,220.68233718113802,3.1622807302553055
298.,4.163424161073825,219.03392193192258,3.1102928655421036
299.,4.149499665551839,217.43432846416394,3.0597429889579373
300.,4.135668000000001,215.8975331120462,3.0107744279065116
301.,4.121928239202658,214.4370698215645,2.9635163131178084
302.,4.108279470198675,213.3764793207599,2.921969163281933
303.,4.094720792079208,212.45413542602896,2.8827143784567086
