lambda (nm), E(eV), Cext [nm^2], Csca [nm^2]
400.38,3.0988071332234375,385.15792758458576,7.3867675494731255
400.59,3.097182655583015,384.9184722652273,7.371847625975943
400.79,3.095637116694528,384.69172914291994,7.357680215854913
401.,3.0940159600997506,384.45500993421024,7.342848195210241
401.2,3.0924735792622133,384.2308462821228,7.328763780960754
401.41,3.090855733539274,383.9968079514987,7.314018153671831
401.61,3.0893165010831405,383.77517135717136,7.300015306846708
401.82,3.0877019560997465,383.54375906813254,7.285354582570055
402.02,3.086165862394906,383.3245974908549,7.271431892773677
402.23,3.0845546080600648,383.09575679156217,7.2568545999240035
402.43,3.083021643515642,382.87901855161044,7.243010674442049
402.64,3.081413669779456,382.65269536368817,7.228515359809768
402.84,3.0798838248436105,382.43832913176294,7.214748823250933
403.05,3.0782791216970593,382.21446973931154,7.200334051632162
403.25,3.0767523868567883,382.0024245261629,7.186643545581515
403.46,3.0751509443315324,381.78097556496357,7.1723078994200655
403.66,3.0736273101124705,381.5712007112078,7.158692082103773
403.87,3.0720291182806347,381.3521091581242,7.144434161144968
404.07,3.070508575246863,381.1445543242391,7.130891707106062
404.27,3.068989536695773,380.9380642533813,7.117384563878578
404.48,3.0673961629746835,380.72238264331503,7.10323972784711
404.68,3.0658802016408027,380.5180382678141,7.089804005401629
404.89,3.064290054088765,380.3045835673308,7.075733483929704
405.09,3.062777160630971,380.1023353011733,7.062367896065649
405.3,3.0611902294596596,379.89105559650216,7.048370346695798
405.5,3.059680394574599,379.6908541400213,7.0350736224818915
405.71,3.058096670035247,379.48169781318757,7.021147718642409
405.91,3.056589884457145,379.2834941438275,7.007918602139051
406.12,3.0550093568403427,379.0764098630441,6.99406303285774
406.32,3.053505611340815,378.88015522629604,6.980900282849386
406.53,3.051928270976312,378.6750919365201,6.967113752477378
406.73,3.050427556364172,378.48073783700534,6.954016142214206
406.94,3.048853393620681,378.27764475066584,6.9402973701598505
407.14,3.0473557007417598,378.0851429433792,6.927263687108888
407.34,3.0458594785682727,377.8935272592477,6.914260752275889
407.55,3.04429002576371,377.6932720129636,6.900640453186537
407.75,3.0427968117719186,377.5034372867904,6.887699667350612
407.96,3.0412305127953725,377.3050269960121,6.874144004400058
408.16,3.0397402979223833,377.1169255686578,6.861264189375937
408.37,3.03817714327693,376.92031030837256,6.847771932542321
408.57,3.0366899184962186,376.7338947416944,6.834951923563643
408.78,3.0351298987230293,376.53902481467156,6.821521856804002
408.98,3.0336456550442565,376.3542478834248,6.808760502313833
409.19,3.032088760722403,376.16107381177926,6.795391423348438
409.39,3.030607489191236,375.9778884956602,6.7826875847981976
409.59,3.0291276642496157,375.79546257408896,6.77001139351207
409.8,3.027575402635432,375.604720488393,6.756730856560128
410.,3.026098536585366,375.4238165873972,6.744110510936905
410.21,3.02454937714829,375.2346481639658,6.730888029131099
410.41,3.0230754611242414,375.0552197394452,6.718322422164025
410.62,3.0215293945740584,374.86757620151485,6.705156839663233
