"Wavelength, nm",n,k
200,1.396,1.10E-07
225,1.373,4.90E-08
250,1.362,3.35E-08
275,1.354,2.35E-08
300,1.349,1.60E-08
325,1.346,1.08E-08
350,1.343,6.50E-09
375,1.341,3.50E-09
400,1.339,1.86E-09
425,1.338,1.30E-09
450,1.337,1.02E-09
475,1.336,9.35E-10
500,1.335,1.00E-09
525,1.334,1.32E-09
550,1.333,1.96E-09
575,1.333,3.60E-09
600,1.332,1.09E-08
625,1.332,1.39E-08
650,1.331,1.64E-08
675,1.331,2.23E-08
700,1.331,3.35E-08
725,1.33,9.15E-08
750,1.33,1.56E-07
775,1.33,1.48E-07
800,1.329,1.25E-07
825,1.329,1.82E-07
850,1.329,2.93E-07
875,1.328,3.91E-07
900,1.328,4.86E-07
925,1.328,0.00000106
950,1.327,0.00000293
975,1.327,0.00000348
1000,1.327,0.00000289
1200,1.324,0.00000989
1400,1.321,0.000138
1600,1.317,0.0000855
1800,1.312,0.000115
2000,1.306,0.0011
2200,1.296,0.000289
2400,1.279,0.000956
2600,1.242,0.00317
2650,1.219,0.0067
2700,1.188,0.019
2750,1.157,0.059
2800,1.142,0.115
2850,1.149,0.185
2900,1.201,0.268
2950,1.292,0.298
3000,1.371,0.272
3050,1.426,0.24
3100,1.467,0.192
3150,1.483,0.135
3200,1.478,0.0924
3250,1.467,0.061
3300,1.45,0.0368
3350,1.432,0.0261
3400,1.42,0.0195
3450,1.41,0.0132
3500,1.4,0.0094
3600,1.385,0.00515
3700,1.374,0.0036
3800,1.364,0.0034
3900,1.357,0.0038
4000,1.351,0.0046
4100,1.346,0.00562
4200,1.342,0.00688
4300,1.338,0.00845
4400,1.334,0.0103
4500,1.332,0.0134
4600,1.33,0.0147
4700,1.33,0.0157
4800,1.33,0.015
4900,1.328,0.0137
5000,1.325,0.0124
5100,1.322,0.0111
5200,1.317,0.0101
5300,1.312,0.0098
5400,1.305,0.0103
5500,1.298,0.0116
5600,1.289,0.0142
5700,1.277,0.0203
5800,1.262,0.033
5900,1.248,0.0622
6000,1.265,0.107
6100,1.319,0.131
6200,1.363,0.088
6300,1.357,0.057
6400,1.347,0.0449
6500,1.339,0.0392
6600,1.334,0.0356
6700,1.329,0.0337
6800,1.324,0.0327
6900,1.321,0.0322
7000,1.317,0.032
7100,1.314,0.032
7200,1.312,0.0321
7300,1.309,0.0322
7400,1.307,0.0324
7500,1.304,0.0326
7600,1.302,0.0328
7700,1.299,0.0331
7800,1.297,0.0335
7900,1.294,0.0339
8000,1.291,0.0343
8200,1.286,0.0351
8400,1.281,0.0361
8600,1.275,0.0372
8800,1.269,0.0385
9000,1.262,0.0399
9200,1.255,0.0415
9400,1.247,0.0433
9600,1.239,0.0454
9800,1.229,0.0479
10000,1.218,0.0508
10500,1.185,0.0662
11000,1.153,0.0968
11500,1.126,0.142
12000,1.111,0.199
12500,1.123,0.259
13000,1.146,0.305
13500,1.177,0.343
14000,1.21,0.37
14500,1.241,0.388
15000,1.27,0.402
15500,1.297,0.414
16000,1.325,0.422
16500,1.351,0.428
17000,1.376,0.429
17500,1.401,0.429
18000,1.423,0.426
18500,1.443,0.421
19000,1.461,0.414
19500,1.476,0.404
20000,1.48,0.393
21000,1.487,0.382
22000,1.5,0.373
23000,1.511,0.367
24000,1.521,0.361
25000,1.531,0.356
26000,1.539,0.35
27000,1.545,0.344
28000,1.549,0.338
29000,1.551,0.333
30000,1.551,0.328
32000,1.546,0.324
34000,1.536,0.329
36000,1.527,0.343
38000,1.522,0.361
40000,1.519,0.385
42000,1.522,0.409
44000,1.53,0.436
46000,1.541,0.462
48000,1.555,0.488
50000,1.587,0.514
60000,1.703,0.587
70000,1.821,0.576
80000,1.886,0.547
90000,1.924,0.536
100000,1.957,0.532
110000,1.966,0.531
120000,2.004,0.526
130000,2.036,0.514
140000,2.056,0.5
150000,2.069,0.495
160000,2.081,0.496
170000,2.094,0.497
180000,2.107,0.499
190000,2.119,0.501
200000,2.13,0.504
