lambda (nm), E(eV), Cext [nm^2], Csca [nm^2]
250.,4.9628016,1345.8021721294472,107.30987075293203
251.,4.943029482071712,1348.4594116710225,107.28135533838406
252.,4.923414285714286,1351.1039492589782,107.26180336844732
253.,4.903954150197628,1353.6213752411845,107.23800401561074
254.,4.884647244094489,1355.8929044457275,107.1964004445691
255.,4.865491764705882,1357.795665785943,107.12313610098785
256.,4.8464859375,1358.6400625747588,106.95635602377322
257.,4.827628015564202,1358.683675573975,106.71504789097689
258.,4.808916279069767,1358.1493305092554,106.41530179615083
259.,4.790349034749035,1357.041274738646,106.05474376282038
260.,4.771924615384616,1355.369831181226,105.63162395754176
261.,4.753641379310344,1353.1511866787814,105.1447906229415
262.,4.7354977099236635,1350.4731055380116,104.59030445579795
263.,4.7174920152091255,1347.5057440712626,103.96277329556538
264.,4.699622727272728,1344.0582488614546,103.27449492842601
265.,4.681888301886793,1340.1232793065092,102.52715215170016
266.,4.664287218045113,1335.6925377535292,101.72241531333123
267.,4.64681797752809,1330.7569824378304,100.86196123111624
268.,4.629479104477612,1325.3070408523795,99.94749191831082
269.,4.612269144981412,1319.3328233617776,98.98075282225598
270.,4.595186666666667,1312.2074759891834,97.93523386393716
271.,4.578230258302583,1304.5097738766076,96.84033690360324
272.,4.561398529411765,1296.4118132477847,95.70637625746423
273.,4.54469010989011,1287.991998944337,94.53919711504308
274.,4.528103649635036,1279.3293493836445,93.34449921762923
275.,4.511637818181818,1270.5028238867324,92.12777916787172
276.,4.495291304347826,1261.5907309044057,90.8942849772124
277.,4.479062815884476,1252.9627440086317,89.64379741015823
278.,4.462951079136691,1244.5322587743515,88.38447241839876
279.,4.446954838709678,1236.1886004877813,87.12381381385153
280.,4.431072857142857,1227.9566163902591,85.86633880789445
281.,4.415303914590747,1219.8588485683417,84.61619522807881
282.,4.399646808510638,1211.915812236785,83.377190656148
283.,4.3841003533568905,1204.1462486495525,82.15282031947503
284.,4.36866338028169,1196.5673537069056,80.9462936367124
285.,4.353334736842106,1189.490411359515,79.78590488971822
286.,4.338113286713287,1182.9820898517644,78.67792731508189
287.,4.322997909407666,1176.6109937658748,77.58655746206124
288.,4.307987499999999,1170.3310470392933,76.50951519366316
289.,4.293080968858131,1164.09645282056,75.44462676700293
290.,4.27827724137931,1157.8617399181276,74.38982370057079
291.,4.263575257731959,1151.5818257156893,73.34314428750909
292.,4.248973972602739,1145.2120968594336,72.30273751479024
293.,4.234472354948806,1138.213123502182,71.24021733204084
294.,4.220069387755102,1130.2780200738916,70.14107497714998
295.,4.20576406779661,1122.2741085763223,69.05314025305023
296.,4.191555405405406,1114.270035355861,67.98045035968688
297.,4.1774424242424235,1106.3326699557083,66.9267085454812
298.,4.163424161073825,1098.5270810891393,65.89529766039722
299.,4.149499665551839,1090.9165771570767,64.88930066549221
300.,4.135668000000001,1083.5628087146226,63.911527046730605
301.,4.121928239202658,1076.5259303588853,62.96454420781819
302.,4.108279470198675,1071.1974948100756,62.12233120097927
303.,4.094720792079208,1066.4614213098328,61.32237609336331
304.,4.081251315789474,1062.0498603997569,60.54953977669657
305.,4.067870163934426,1057.913750924938,59.800704046187576
306.,4.054576470588235,1054.004667435895,59.07289839541724
307.,4.041369381107492,1050.27467394367,58.36327913731413
308.,4.028248051948053,1046.6762095674003,57.6691130875374
309.,4.015211650485437,1043.1620059282363,56.98776546119112
310.,4.00225935483871,1039.6850363279832,56.31669169491076
311.,3.989390353697749,1036.127536401896,55.650165938204275
312.,3.976603846153846,1031.1160448229975,54.92535201100042
313.,3.963899041533546,1026.1134314002963,54.2099288885592
314.,3.951275159235669,1021.1675416400857,53.50577426676223
315.,3.9387314285714283,1016.3255836222804,52.81466041039179
316.,3.9262670886075948,1011.63415428569,52.13826037492372
317.,3.913881388012618,1007.1392995059177,51.478156934401206
318.,3.9015735849056603,1002.8866076987492,50.83585397125368
319.,3.889342946708464,998.9213367772152,50.21279012622248
320.,3.87718875,995.2885744659535,49.61035455805066
321.,3.8651102803738313,992.8922518316245,49.06617328446945
322.,3.853106832298136,992.1716673428657,48.59758444817711
323.,3.841177708978328,991.8198869226886,48.14872493337109
324.,3.829322222222222,991.7683786887355,47.716399139272504
325.,3.8175396923076925,991.9480423451718,47.2974364779218
326.,3.805829447852761,992.2889441461867,46.88866945059109
327.,3.7941908256880734,992.7201245188475,46.486918716472026
328.,3.7826231707317075,993.1694814081983,46.088985154948624
329.,3.771125835866261,993.5637329302608,45.691649009258846
330.,3.759698181818182,993.8284631434614,45.291676239783925
331.,3.7483395770392747,993.8882546435284,44.88583220718662
332.,3.737049397590362,993.1492653472878,44.44705060206848
333.,3.725827027027027,990.6262166058128,43.9310175930579
334.,3.714671856287425,987.7958798503427,43.40668388719732
335.,3.7035832835820894,984.6825065071794,42.87565337808358
336.,3.692560714285714,981.3106422485828,42.33950918682789
337.,3.681603560830861,977.7050147926319,41.79980323900023
338.,3.67071124260355,973.8904300045579,41.25804718444112
339.,3.659883185840708,969.8916768836906,40.715704666011284
340.,3.649118823529412,965.7334418651391,40.17418492111832
341.,3.6384175953079176,961.4402327206858,39.63483768062496
342.,3.6277789473684208,957.0363122116902,39.09894931366578
343.,3.617202332361516,952.5213042141379,38.565136704671914
344.,3.6066872093023257,947.8769825322919,38.0301888661614
345.,3.596233043478261,943.1980079081937,37.50288225819746
346.,3.5858393063583813,938.5113553932457,36.98464641260845
347.,3.5755054755043223,933.8434571120578,36.47681788614536
348.,3.5652310344827587,929.2201891872481,35.980643628422996
349.,3.55501547277937,924.6668693235919,35.49728536799985
350.,3.5448582857142856,920.2082645471978,35.027824894313525
351.,3.5347589743589745,915.8686085877771,34.57327012280677
352.,3.5247170454545453,911.6716284009332,34.13456184205503
353.,3.514732011331445,907.6405793508159,33.712581054641134
354.,3.5048033898305087,903.7982886099071,33.3081568375995
355.,3.4949307042253523,900.7330037733502,32.95368923456828
356.,3.4851134831460673,898.4290401080241,32.64716579942081
357.,3.4753512605042016,896.3382703942293,32.35735694411442
358.,3.4656435754189947,894.4431025701554,32.08294494617731
359.,3.4559899721448466,892.7262037780993,31.822667828941736
360.,3.44639,891.1704669902358,31.575313009116908
361.,3.4368432132963993,889.758981645703,31.339711652837167
362.,3.427349171270718,888.4750081994966,31.114733688161728
363.,3.417907438016529,887.3019564986537,30.899283429508603
364.,3.408517582417583,886.2233679126796,30.692295775959437
365.,3.399179178082192,885.2229011530642,30.49273295087311
366.,3.3898918032786884,884.2843217211584,30.299581754875312
367.,3.3806550408719347,883.3914949245543,30.111851308118997
368.,3.3714684782608693,882.5283823997977,29.928571260795803
369.,3.362331707317073,881.5124895145044,29.74193125307457
370.,3.3532443243243244,880.4680395578052,29.55680951239369
371.,3.344205929919138,879.4176889663559,29.37387185049656
372.,3.335216129032258,878.3523026433501,29.192481649840737
373.,3.3262745308310993,877.2628873338787,29.01201846749947
374.,3.3173807486631013,876.1405976664754,28.83187802847567
375.,3.3085344,874.9767423428505,28.651472346538537
376.,3.2997351063829785,873.7627903763664,28.47022996372071
377.,3.2909824933687,872.4903772779138,28.287596299486427
378.,3.2822761904761903,871.1513110874323,28.10303410042733
379.,3.2736158311345647,869.7375781505518,27.916023981181073
380.,3.2650010526315785,868.2413485428424,27.726065047105614
381.,3.256431496062992,866.6549810489814,27.532675589091784
382.,3.2479068062827228,864.8025790606175,27.326267940796768
383.,3.239426631853786,862.3291492694037,27.08777696590815
384.,3.230990625,859.7581692731413,26.845662518119337
385.,3.2225984415584414,857.1016234245749,26.600540854784473
386.,3.2142497409326425,854.371359710594,26.353011715939175
387.,3.2059441860465117,851.5790755787992,26.10365712222994
388.,3.197681443298969,848.736306331401,25.853040416761
389.,3.18946118251928,845.8544160106873,25.601705539290368
390.,3.181283076923077,842.9445906922821,25.350176520285245
391.,3.173146803069054,840.0178340969876,25.098957181723666
392.,3.165052040816326,837.0849654287871,24.848531031172005
393.,3.1569984732824428,834.1566193454247,24.599361335555884
394.,3.1489857868020303,831.2432479688232,24.35189136115238
395.,3.141013670886076,828.3551248451347,24.10654476663808
396.,3.1330818181818185,825.5023507683131,23.863726136502862
397.,3.1251899244332493,822.6948613867186,23.62382164277076
398.,3.117337688442211,820.133057931322,23.394695253876325
399.,3.109524812030075,817.9994311399021,23.183302817455683
400.,3.101751,815.9191645856946,22.974789170933725
401.,3.0940159600997506,813.8888015677076,22.769001824474103
402.,3.0863194029850747,811.9049150878973,22.56579256119353
403.,3.0786610421836227,809.9641051550973,22.3650172387033
404.,3.071040594059406,808.0629962785546,22.166535609220094
405.,3.063457777777778,806.1982351492725,21.970211157357674
406.,3.055912315270936,804.3664885078755,21.77591095477801
407.,3.0484039312039313,802.564441198174,21.583505530940826
408.,3.0409323529411765,800.7887944060739,21.392868759244525
409.,3.033497310513447,799.0362640838473,21.20387775789703
